id,itemId,name,slot,build,realmIndex,realm,rarity,atk,def,hp,spirit,critPct,movePct,penPct,specialEffect,source,marketMin,marketMax,marketPolicy,bindPolicy,economicRole,runtimeStatus,balanceNote
eq_belt_spirit,it_belt_spirit,Tụ Linh Đai,Đai,Pháp,1,Luyện Khí sơ (1-3),Thượng phẩm,0,4,35,22,0,0,0,+3% hồi linh,Cổ Tu Động Phủ,380,460,market,bind_on_equip,gear_sink,future_design,
eq_helm_jade,it_helm_jade,Ngọc Tâm Quan,Mũ,Hỗ trợ,2,Luyện Khí trung (4-6),Thượng phẩm,0,15,55,18,0,0,0,CC nhận vào -5% thời lượng,Bí cảnh,655,805,market,bind_on_equip,gear_sink,future_design,
eq_armor_iron,it_armor_iron,Hắc Thiết Giáp,Áo,Bruiser,2,Luyện Khí trung (4-6),Thượng phẩm,0,23,105,0,0,-2,0,Nhận damage vật lý -3%,Chế tạo,655,805,market,bind_on_equip,gear_sink,future_design,Tank đổi mobility
eq_boot_shadow,it_boot_shadow,Ảnh Bộ Ngoa,Giày,Kiếm/Cung,2,Luyện Khí trung (4-6),Thượng phẩm,0,8,35,0,0,6,0,Sau né hoàn hảo +4% move 2s,Tinh anh Âm Vụ Đầm,655,805,market,bind_on_equip,gear_sink,future_design,
eq_belt_blood,it_belt_blood,Huyết Khí Đai,Đai,Quyền/Đao,2,Luyện Khí trung (4-6),Trung phẩm,0,8,85,0,0,0,0,"Dưới 35% HP: +4% ATK, CD 20s",Huyết Xà,560,680,market,bind_on_equip,gear_sink,future_design,
eq_helm_cloud,it_helm_cloud,Thanh Vân Quan,Mũ,Kiếm,3,Luyện Khí hậu (7-9),Thượng phẩm,0,21,75,0,1.5,0,0,Kiếm skill CD -2%,Thanh Vân ngoại môn,1020,1250,market,bind_on_equip,gear_sink,future_design,
eq_armor_cloud,it_armor_cloud,Thanh Vân Pháp Bào,Áo,Kiếm/Pháp,3,Luyện Khí hậu (7-9),Cực phẩm,0,29,135,22,0,0,0,Nhận shield +5%,Bí cảnh Thanh Vân,1210,1480,market,bind_on_equip,gear_sink,future_design,
eq_boot_chase,it_boot_chase,Truy Phong Ngoa,Giày,Cơ động,3,Luyện Khí hậu (7-9),Cực phẩm,0,11,48,0,0,8,0,Dash CD -4%,Boss Phong Lang Vương,1210,1480,market,bind_on_equip,gear_sink,future_design,
eq_belt_earth,it_belt_earth,Địa Mạch Đai,Đai,Thương/Quyền,4,Trúc Cơ sơ,Thượng phẩm,0,20,145,0,0,0,0,"Đứng yên >=1.5s: +4% DEF, mất khi di chuyển",Huyền Thiết Mạch,1600,1960,market,bind_on_equip,gear_sink,future_design,
eq_armor_spirit,it_armor_spirit,Tụ Linh Huyền Bào,Áo,Pháp/Hỗ trợ,4,Trúc Cơ sơ,Cực phẩm,0,32,155,42,0,0,0,"Linh lực dưới 30%: hồi 2%/s trong 4s, CD 25s",Trúc Cơ Bí Cảnh,1900,2320,market,bind_on_equip,gear_sink,future_design,
eq_boot_void,it_boot_void,Hư Ảnh Ngoa,Giày,Kiếm/Cung,5,Trúc Cơ trung,Cực phẩm,0,17,75,0,0,10,0,Sau dash nhận 8% né projectile 1.5s,Cổ Tu Động Phủ tầng sâu,2765,3375,market,bind_on_equip,gear_sink,future_design,Không tăng né melee
eq_neck_spirit,it_neck_spirit,Tụ Khí Ngọc,Dây chuyền,Pháp,1,Luyện Khí sơ (1-3),Trung phẩm,0,0,0,24,0,0,0,+2% hồi linh,Nhiệm vụ tông môn,,,bound,character_bound,progression_baseline,future_design,
eq_ring_hunter,it_ring_hunter,Liệp Yêu Giới,Nhẫn,Cung/Đa dụng,1,Luyện Khí sơ (1-3),Trung phẩm,0,0,0,0,2,0,1,+4% damage lên yêu thú thường,Liệp Yêu nhiệm vụ,,,bound,character_bound,progression_baseline,future_design,
eq_ring_fire,it_ring_fire,Hỏa Văn Giới,Nhẫn,Hỏa pháp,2,Luyện Khí trung (4-6),Thượng phẩm,0,0,0,12,2,0,0,Hỏa skill +4%,Hỏa Thạch Động,655,805,market,bind_on_equip,gear_sink,future_design,
eq_neck_wood,it_neck_wood,Mộc Linh Bội,Dây chuyền,Mộc/Độc,2,Luyện Khí trung (4-6),Thượng phẩm,0,0,45,18,0,0,0,Heal/DoT duration +4%,Trúc Lâm sâu,655,805,market,bind_on_equip,gear_sink,future_design,
eq_ring_pierce,it_ring_pierce,Phá Giáp Giới,Nhẫn,Đao/Thương,3,Luyện Khí hậu (7-9),Thượng phẩm,0,0,0,0,0,0,4,Đòn charged +3% penetration,Huyền Thiết Mạch,1020,1250,market,bind_on_equip,gear_sink,future_design,
eq_neck_clear,it_neck_clear,Thanh Tâm Bội,Dây chuyền,Hỗ trợ,3,Luyện Khí hậu (7-9),Cực phẩm,0,0,60,28,0,0,0,Giảm slow/root 8%,Tông môn đổi điểm,1210,1480,market,bind_on_equip,gear_sink,future_design,
eq_ring_thunder,it_ring_thunder,Lôi Văn Giới,Nhẫn,Lôi/Cung,4,Trúc Cơ sơ,Cực phẩm,0,0,0,20,4,0,0,Lôi proc damage +5%,Trúc Cơ Bí Cảnh,1900,2320,market,bind_on_equip,gear_sink,future_design,
eq_neck_guard,it_neck_guard,Hộ Mạch Ngọc,Dây chuyền,Bruiser,5,Trúc Cơ trung,Cực phẩm,0,8,130,0,0,0,0,"Lần đầu dưới 25% HP nhận shield 12% HP, CD 60s",Boss Trúc Cơ,2765,3375,market,bind_on_equip,gear_sink,future_design,
eq_art_mirror,it_art_mirror,Huyền Quang Kính,Pháp bảo,Phòng thủ,2,Luyện Khí trung (4-6),Thượng phẩm,0,0,0,20,0,0,0,"Kích hoạt: shield 12% HP 5s, CD 35s",Cổ Tu Động Phủ,655,805,market,bind_on_equip,gear_sink,future_design,
eq_art_banner,it_art_banner,Tụ Linh Phiên,Pháp bảo,Hỗ trợ,3,Luyện Khí hậu (7-9),Cực phẩm,0,0,0,35,0,0,0,"Đặt vùng 6s: +8% hồi linh, CD 40s",Bí cảnh,1210,1480,market,bind_on_equip,gear_sink,future_design,
eq_art_swordbox,it_art_swordbox,Kiếm Hạp Thanh Trúc,Pháp bảo,Kiếm/Phi kiếm,4,Trúc Cơ sơ,Cực phẩm,12,0,0,25,0,0,0,"Triệu hồi 3 kiếm khí, mỗi kiếm 45% ATK, CD 32s",Thanh Vân bí cảnh,1900,2320,market,bind_on_equip,gear_sink,future_design,
eq_art_earthbell,it_art_earthbell,Địa Linh Chung,Pháp bảo,Tank/Control,4,Trúc Cơ sơ,Thượng phẩm,0,12,90,0,0,0,0,"Kích hoạt: giảm 12% damage nhận 4s, CD 38s",Huyền Thiết Mạch,1600,1960,market,bind_on_equip,gear_sink,future_design,
eq_tal_fireward,it_tal_fireward,Hỏa Kháng Phù,Phù hộ thân,Kháng,3,Luyện Khí hậu (7-9),Thượng phẩm,0,0,0,0,0,0,0,Giảm 8% Hỏa damage; chỉ trang bị 1 phù kháng,Luyện phù,1020,1250,market,bind_on_equip,gear_sink,future_design,
eq_tal_ccward,it_tal_ccward,Định Thần Phù,Phù hộ thân,Kháng CC,5,Trúc Cơ trung,Cực phẩm,0,0,55,0,0,0,0,Hard CC đầu tiên mỗi 45s giảm 35% thời lượng,Tông môn/Chế tạo,2765,3375,market,bind_on_equip,gear_sink,future_design,
