id,ingredients_json,fee,output_json,status
rc_heal,"{""it_herb_cam_lo"":2,""it_water"":1}",20,"{""it_heal_pill"":1}",mvp_contract
rc_qi,"{""it_herb_ich_khi"":2,""it_herb_tinh_tam"":1}",30,"{""it_qi_pill"":1}",mvp_contract
rc_ward,"{""it_spider_silk"":2,""it_spirit_dust"":1}",40,"{""it_ward_talisman"":1}",mvp_contract
rc_sword,"{""it_iron"":6,""it_bamboo"":2}",80,"{""it_iron_sword"":1}",mvp_contract
rc_escape,"{""it_herb_tinh_tam"":2,""it_bamboo"":1}",40,"{""it_escape_talisman"":1}",mvp_contract
rc_detox,"{""it_herb_tinh_tam"":2,""it_herb_moon"":1}",60,"{""it_pill_detox"":1}",future_design
rc_focus,"{""it_herb_tinh_tam"":2,""it_herb_vine"":1}",75,"{""it_pill_focus"":1}",future_design
rc_blood,"{""it_herb_fireflower"":2,""it_mon_snakegall"":1}",90,"{""it_pill_blood"":1}",future_design
rc_guard,"{""it_herb_earthroot"":2,""it_mon_beetleshell"":1}",90,"{""it_pill_guard"":1}",future_design
rc_gather,"{""it_herb_ich_khi"":3,""it_mon_core1"":1}",100,"{""it_pill_gather"":1}",future_design
rc_breakthrough,"{""it_herb_cloud"":2,""it_mon_core2"":1}",180,"{""it_pill_breakthrough"":1}",future_design
rc_foundation,"{""it_herb_fivecolor"":2,""it_mon_core2"":2,""it_herb_soul"":1}",360,"{""it_pill_foundation"":1}",future_design
rc_meridian,"{""it_herb_bone"":2,""it_mon_blood"":1}",300,"{""it_pill_meridian"":1}",future_design
rc_speed,"{""it_herb_cloud"":1,""it_mat_windstone"":1}",160,"{""it_pill_speed"":1}",future_design
rc_vision,"{""it_herb_moon"":1,""it_mat_jade"":1}",100,"{""it_pill_vision"":1}",future_design
rc_fire_res,"{""it_herb_colddew"":2,""it_mat_coldiron"":1}",160,"{""it_pill_fire_res"":1}",future_design
rc_poison,"{""it_herb_poison"":2,""it_mon_snakegall"":1}",220,"{""it_pill_poison"":1}",future_design
rc_mind,"{""it_herb_soul"":2,""it_herb_spring"":1,""it_mon_core3"":1}",480,"{""it_pill_mind"":1}",future_design
rc_tal_firebolt,"{""it_life_paper"":1,""it_life_ink"":1,""it_mat_firestone"":1}",50,"{""it_tal_firebolt"":1}",future_design
rc_tal_ice,"{""it_life_paper"":1,""it_life_ink"":1,""it_mat_coldiron"":1}",70,"{""it_tal_ice"":1}",future_design
rc_tal_dash,"{""it_life_paper"":1,""it_life_ink"":1,""it_mat_windstone"":1}",90,"{""it_tal_dash"":1}",future_design
rc_tal_cleanse,"{""it_life_paper"":1,""it_life_ink"":1,""it_herb_tinh_tam"":1}",100,"{""it_tal_cleanse"":1}",future_design
rc_tal_thunder,"{""it_life_paper"":1,""it_life_ink"":1,""it_mat_thunderore"":1}",180,"{""it_tal_thunder"":1}",future_design
rc_tal_root,"{""it_life_paper"":1,""it_life_ink"":1,""it_mat_earthcrystal"":1}",150,"{""it_tal_root"":1}",future_design
rc_tal_reveal,"{""it_life_paper"":1,""it_life_ink"":1,""it_mat_jade"":1}",130,"{""it_tal_reveal"":1}",future_design
rc_tal_barrier,"{""it_life_paper"":1,""it_life_ink"":1,""it_mat_spiritjade"":1}",240,"{""it_tal_barrier"":1}",future_design
